reviewTitle,title_result,reviewBody,body_result,aspects
Dead in 2 months,"[{'overall_score': 'negative', 'aspects': ['months'], 'sentiments': [{'word': 'dead', 'sentiment': 'negative'}]}]",Seemed to work pretty good but I’ve had this for about two months and only used it to sharpen my kitchen knives and it’s already dead. Unit seemed to run rather hot tbh. Went to sharpen my knife set and I got through two before a strong smell of melting plastic paired with extreme heat caused the unit to fail.,"[{'overall_score': 'negative', 'aspects': ['’', 've', 'months', 'kitchen', 'knives', '’', 'unit', 'tbh', 'knife', 'smell', 'plastic', 'heat', 'unit'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'pretty', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'dead', 'sentiment': 'negative'}, {'word': 'hot', 'sentiment': 'positive'}, {'word': 'knife', 'sentiment': 'negative'}, {'word': 'strong', 'sentiment': 'positive'}, {'word': 'smell', 'sentiment': 'negative'}, {'word': 'fail', 'sentiment': 'negative'}]}]","['months', '’', 've', 'months', 'kitchen', 'knives', '’', 'unit', 'tbh', 'knife', 'smell', 'plastic', 'heat', 'unit']"
Decent and works,"[{'overall_score': 'positive', 'aspects': ['decent', 'works'], 'sentiments': [{'word': 'decent', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}]}]",Easy to install but thought it tilted left and right. Works perfectly for the bedroom.,"[{'overall_score': 'positive', 'aspects': ['bedroom'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'right', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}, {'word': 'perfectly', 'sentiment': 'positive'}]}]","['decent', 'works', 'bedroom']"
Perfect attire for end of the day!,"[{'overall_score': 'positive', 'aspects': ['attire', 'end', 'day'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]",The best outfit for the end of the day..soft and comfy!,"[{'overall_score': 'positive', 'aspects': ['outfit', 'end', 'day', '..', 'comfy'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}, {'word': 'soft', 'sentiment': 'positive'}, {'word': 'comfy', 'sentiment': 'positive'}]}]","['attire', 'end', 'day', 'outfit', 'end', 'day', '..', 'comfy']"
Great mascara for the price!,"[{'overall_score': 'positive', 'aspects': ['mascara', 'price'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!,"[{'overall_score': 'positive', 'aspects': ['i', 'product', 'issue', 'i', 'i', 'eyes', 'i', 'face', 'eye', 'makeup', 'product'], 'sentiments': [{'word': 'well', 'sentiment': 'positive'}, {'word': 'issue', 'sentiment': 'negative'}, {'word': 'pretty', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['mascara', 'price', 'i', 'product', 'issue', 'i', 'i', 'eyes', 'i', 'face', 'eye', 'makeup', 'product']"
Very cute and hopefully we use it someday!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'cute', 'sentiment': 'positive'}]}]","It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price.","[{'overall_score': 'positive', 'aspects': ['design', 'cute', 'toddler', 'terrified', 'potty.', '”', 'i', 'm', 'time', 'product', 'price'], 'sentiments': [{'word': 'compact', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'clean', 'sentiment': 'positive'}, {'word': 'super', 'sentiment': 'positive'}, {'word': 'cute', 'sentiment': 'positive'}, {'word': 'refuses', 'sentiment': 'negative'}, {'word': 'great', 'sentiment': 'positive'}]}]","['design', 'cute', 'toddler', 'terrified', 'potty.', '”', 'i', 'm', 'time', 'product', 'price']"
Dad likes it.,"[{'overall_score': 'positive', 'aspects': ['dad'], 'sentiments': [{'word': 'likes', 'sentiment': 'positive'}]}]","Bought this for my dad and he's happy with it. I was a little concerned, because it didn't expand most of the way when unwrapped but he said it did expand to fill the cover by the next day.","[{'overall_score': 'positive', 'aspects': ['dad', 'i', 'way', 'cover', 'day'], 'sentiments': [{'word': 'happy', 'sentiment': 'positive'}, {'word': 'concerned', 'sentiment': 'negative'}]}]","['dad', 'dad', 'i', 'way', 'cover', 'day']"
Stream from duck’s bill is tiny.,"[{'overall_score': 'neutral', 'aspects': ['stream', 'duck', '’', 's', 'bill'], 'sentiments': []}]","The only aspect that was disappointing was the size of the stream from the ducks bill, tiny and beyond tiny. My cat loves to drink from the bottom of the fountain but not the stream. He likes to drink from the bathroom faucet so i thought he would on this. Maybe he can’t see the timy stream!","[{'overall_score': 'negative', 'aspects': ['aspect', 'size', 'stream', 'ducks', 'bill', 'cat', 'bottom', 'fountain', 'stream', 'bathroom', 'faucet', 'thought', 'stream'], 'sentiments': [{'word': 'disappointing', 'sentiment': 'negative'}, {'word': 'loves', 'sentiment': 'positive'}, {'word': 'likes', 'sentiment': 'positive'}]}]","['stream', 'duck', '’', 's', 'bill', 'aspect', 'size', 'stream', 'ducks', 'bill', 'cat', 'bottom', 'fountain', 'stream', 'bathroom', 'faucet', 'thought', 'stream']"
Nice Quality,"[{'overall_score': 'positive', 'aspects': ['quality'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]","Nice quality, effective and durable","[{'overall_score': 'positive', 'aspects': ['quality'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}, {'word': 'effective', 'sentiment': 'positive'}, {'word': 'durable', 'sentiment': 'positive'}]}]","['quality', 'quality']"
Fall Pumpkin Sets!！,"[{'overall_score': 'positive', 'aspects': ['fall', 'sets', '！'], 'sentiments': [{'word': 'fall', 'sentiment': 'negative'}]}]",Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,"[{'overall_score': 'positive', 'aspects': ['value', 'pumpkins', 'garland', 'vine', 'leaves', 'photo', 'i', 'table'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}]}]","['fall', 'sets', '！', 'value', 'pumpkins', 'garland', 'vine', 'leaves', 'photo', 'i', 'table']"
Cheap price Cheap audio.,"[{'overall_score': 'positive', 'aspects': ['price', 'audio'], 'sentiments': [{'word': 'cheap', 'sentiment': 'negative'}, {'word': 'cheap', 'sentiment': 'negative'}]}]","I have never had good thing to say about Beats audio equipment. I have always thought they were over priced and poor quality. These fall under that same category. Even with the provided different ear bud foam sizes, they don't stay in your ears. The sound quality is real bad, especially at higher volumes. The bass gets distorted.","[{'overall_score': 'negative', 'aspects': ['i', 'thing', 'beats', 'equipment', 'i', 'quality', 'fall', 'category', 'ear', 'bud', 'foam', 'sizes', 'ears', 'quality', 'volumes', 'bass'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'poor', 'sentiment': 'negative'}, {'word': 'fall', 'sentiment': 'negative'}, {'word': 'bad', 'sentiment': 'negative'}, {'word': 'distorted', 'sentiment': 'negative'}]}]","['price', 'audio', 'i', 'thing', 'beats', 'equipment', 'i', 'quality', 'fall', 'category', 'ear', 'bud', 'foam', 'sizes', 'ears', 'quality', 'volumes', 'bass']"
Very good,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",I really like this. The audio is clear and crispy. Easy to set up. The only complaint is that the stand is sometimes annoying (it is hard to make it stand up without falling),"[{'overall_score': 'positive', 'aspects': ['audio', 'crispy', 'complaint', 'stand'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}, {'word': 'clear', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'complaint', 'sentiment': 'negative'}, {'word': 'annoying', 'sentiment': 'negative'}, {'word': 'hard', 'sentiment': 'negative'}, {'word': 'falling', 'sentiment': 'negative'}]}]","['audio', 'crispy', 'complaint', 'stand']"
Easy on/off and durable,"[{'overall_score': 'positive', 'aspects': ['on/off'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'durable', 'sentiment': 'positive'}]}]","I bought these to use when I help in the warehouse handling large, awkward boxed items. The grip is good and they seem to be wearing well. No holes or tears after a few weeks of daily use. I have blown through some other gloves in little more than a day. Overall I’m pleased with these.","[{'overall_score': 'positive', 'aspects': ['i', 'i', 'warehouse', 'items', 'grip', 'holes', 'tears', 'weeks', 'use', 'i', 'gloves', 'day', 'm'], 'sentiments': [{'word': 'awkward', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'pleased', 'sentiment': 'positive'}]}]","['on/off', 'i', 'i', 'warehouse', 'items', 'grip', 'holes', 'tears', 'weeks', 'use', 'i', 'gloves', 'day', 'm']"
!BUY IT!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]","Price is unreal for this product! Fluffy and light weight. As soon as I got it, I threw it in the wash. This is usually the part where I can tell if it’ll be total crap because cheap ones will dry funky or clump up without ever getting fluffed up as once bought. This comforter was an easy wash and dried up great (especially since I had to re wash it after forgetting in the washer ????)! Looks and feels great! Was originally going to be a spare but it’s in my regular rotations now, when my kids aren’t trying to take it! I’m hoping they come out with more prints but if not, might just have to pick up another one.","[{'overall_score': 'positive', 'aspects': ['price', 'product', 'weight', 'i', 'wash.', 'part', 'i', 'crap', 'ones', 'funky', 'comforter', 'wash', 'i', 'wash', 'washer', 'looks', 'feels', 's', 'rotations', 'kids', 't', 'm', 'prints', 'one'], 'sentiments': [{'word': 'unreal', 'sentiment': 'positive'}, {'word': 'crap', 'sentiment': 'negative'}, {'word': 'cheap', 'sentiment': 'negative'}, {'word': 'funky', 'sentiment': 'negative'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['price', 'product', 'weight', 'i', 'wash.', 'part', 'i', 'crap', 'ones', 'funky', 'comforter', 'wash', 'i', 'wash', 'washer', 'looks', 'feels', 's', 'rotations', 'kids', 't', 'm', 'prints', 'one']"
10/10 Hisoka,"[{'overall_score': 'positive', 'aspects': ['hisoka'], 'sentiments': []}]",This is the best purchase I’ve ever made! He’s perfect for guarding your cat litter (and sleeping with). My cats may sometimes attack him but that’s their problem ????,"[{'overall_score': 'positive', 'aspects': ['purchase', 'i', 've', 'perfect', 'cat', 'litter', 'cats', '’', 'problem'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}, {'word': 'perfect', 'sentiment': 'positive'}, {'word': 'attack', 'sentiment': 'negative'}, {'word': 'problem', 'sentiment': 'negative'}]}]","['hisoka', 'purchase', 'i', 've', 'perfect', 'cat', 'litter', 'cats', '’', 'problem']"
Great product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",Works great,"[{'overall_score': 'positive', 'aspects': ['works'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['product', 'works']"
Top small bottom normal sizing,"[{'overall_score': 'negative', 'aspects': ['bottom', 'sizing'], 'sentiments': [{'word': 'top', 'sentiment': 'positive'}]}]",Very small in arms and shoulders,"[{'overall_score': 'negative', 'aspects': ['arms', 'shoulders'], 'sentiments': []}]","['bottom', 'sizing', 'arms', 'shoulders']"
Love them,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",They arrived perfectly! Love them,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'perfectly', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}]}]",[]
Amazing little mop,"[{'overall_score': 'positive', 'aspects': ['mop'], 'sentiments': [{'word': 'amazing', 'sentiment': 'positive'}]}]",I was SHOCKED when I was finished mopping for the first time using the Sandoo mop for my mop pad was filthy! My floors looked so much better amd they were dry within a matter of minutes,"[{'overall_score': 'positive', 'aspects': ['i', 'i', 'time', 'sandoo', 'mop', 'mop', 'pad', 'floors', 'amd', 'matter', 'minutes'], 'sentiments': [{'word': 'shocked', 'sentiment': 'negative'}, {'word': 'filthy', 'sentiment': 'negative'}, {'word': 'better', 'sentiment': 'positive'}]}]","['mop', 'i', 'i', 'time', 'sandoo', 'mop', 'mop', 'pad', 'floors', 'amd', 'matter', 'minutes']"
Excellent product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}]}]",Very comfortable:) Doesn’t feel like an air mattress at all!,"[{'overall_score': 'positive', 'aspects': ['t', 'feel', 'air', 'mattress'], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}]}]","['product', 't', 'feel', 'air', 'mattress']"
�,"[{'overall_score': 'neutral', 'aspects': ['�'], 'sentiments': []}]",Great sticker! Fit nicely on my hard hat...,"[{'overall_score': 'positive', 'aspects': ['sticker', 'fit', 'hat'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'nicely', 'sentiment': 'positive'}, {'word': 'hard', 'sentiment': 'negative'}]}]","['�', 'sticker', 'fit', 'hat']"
The only trap that works,"[{'overall_score': 'positive', 'aspects': ['trap'], 'sentiments': [{'word': 'trap', 'sentiment': 'negative'}, {'word': 'works', 'sentiment': 'positive'}]}]",No mess. This really works.,"[{'overall_score': 'positive', 'aspects': ['mess'], 'sentiments': [{'word': 'mess', 'sentiment': 'negative'}, {'word': 'works', 'sentiment': 'positive'}]}]","['trap', 'mess']"
"Good for everyday use, not great on airlines anymore","[{'overall_score': 'positive', 'aspects': ['use', 'airlines'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","It was perfect, especially getting throughout the airlines at first. I could actually breathe with this one. But then the airlines have recently caught on and are not allowing people to board with these mesh style masks. Otherwise, I love them and and use them anywhere else people are still demanding masks.","[{'overall_score': 'positive', 'aspects': ['airlines', 'i', 'one', 'airlines', 'people', 'board', 'style', 'masks', 'people', 'masks'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}]}]","['use', 'airlines', 'airlines', 'i', 'one', 'airlines', 'people', 'board', 'style', 'masks', 'people', 'masks']"
Very good chair,"[{'overall_score': 'positive', 'aspects': ['chair'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","great overall chair, very convenient arm rest and comfortable seating. 10/10","[{'overall_score': 'positive', 'aspects': ['chair', 'arm', 'rest', 'seating'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'convenient', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}]}]","['chair', 'chair', 'arm', 'rest', 'seating']"
I WILL be buying more of these!,"[{'overall_score': 'positive', 'aspects': ['i'], 'sentiments': []}]","I LOVE these pants! I’m 5’6” and 176lbs, with thicker legs and a smaller waist. I purchased an xl and they fit perfectly. They feel so good on and compliment all the right places.","[{'overall_score': 'positive', 'aspects': ['i', 'pants', 'i', '”', 'thicker', 'legs', 'waist', 'i', 'xl', 'places'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'thicker', 'sentiment': 'negative'}, {'word': 'perfectly', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'compliment', 'sentiment': 'positive'}, {'word': 'right', 'sentiment': 'positive'}]}]","['i', 'i', 'pants', 'i', '”', 'thicker', 'legs', 'waist', 'i', 'xl', 'places']"
